time;stolen;load
1674203827;4366;0.04
1674203887;4368;0.01
1674203947;4369;0.04
1674204007;4371;0.01
1674204067;4373;0.04
1674204127;4374;0.01
1674204187;4375;0.12
1674204247;4376;0.08
1674204307;4376;0.03
1674204367;4377;0.01
1674204427;4379;0.00
1674204487;4380;0.04
1674204547;4381;0.01
1674204607;4383;0.08
1674204667;4384;0.03
1674204727;4385;0.01
1674204787;4386;0.03
1674204847;4388;0.01
1674204907;4390;0.07
1674204967;4395;0.09
1674205027;4398;0.18
1674205087;4409;0.12
1674205147;4416;0.08
1674205207;4418;0.03
1674205267;4419;0.01
1674205327;4421;0.00
1674205387;4423;0.00
1674205447;4424;0.00
1674205507;4425;0.08
1674205567;4426;0.03
1674205627;4428;0.01
1674205687;4430;0.00
1674205747;4432;0.00
1674205807;4434;0.07
1674205867;4436;0.02
1674205927;4437;0.08
1674205987;4441;0.03
1674206047;4445;0.07
1674206107;4449;0.02
1674206167;4450;0.01
1674206227;4451;0.00
1674206287;4453;0.00
1674206347;4454;0.03
1674206407;4455;0.01
1674206467;4456;0.00
1674206528;4458;0.00
1674206588;4460;0.07
1674206648;4461;0.02
1674206708;4464;0.01
1674206768;4466;0.00
1674206828;4469;0.00
1674206888;4470;0.00
1674206948;4473;0.07
1674207008;4475;0.02
1674207068;4476;0.09
1674207128;4477;0.03
1674207188;4478;0.01
1674207248;4479;0.03
1674207308;4480;0.08
1674207368;4481;0.03
1674207428;4482;0.09
1674207488;4484;0.03
1674207548;4488;0.01
1674207608;4491;0.10
1674207668;4493;0.04
1674207728;4494;0.01
1674207788;4496;0.00
1674207848;4499;0.00
1674207908;4500;0.12
1674207968;4501;0.04
1674208028;4504;0.09
1674208088;4507;0.03
1674208148;4509;0.09
1674208208;4513;0.03
1674208268;4515;0.01
1674208328;4516;0.03
1674208388;4518;0.01
1674208448;4520;0.04
1674208508;4521;0.01
1674208568;4523;0.05
1674208628;4525;0.02
1674208688;4527;0.00
1674208748;4528;0.00
1674208808;4530;0.00
1674208868;4532;0.00
1674208928;4535;0.00
1674208988;4537;0.00
1674209048;4539;0.00
1674209108;4541;0.00
1674209168;4543;0.08
1674209228;4544;0.03
1674209288;4546;0.01
1674209348;4547;0.03
1674209408;4549;0.01
1674209468;4550;0.04
1674209528;4551;0.01
1674209589;4553;0.04
1674209649;4554;0.01
1674209709;4554;0.04
1674209769;4556;0.06
1674209829;4557;0.09
1674209889;4559;0.08
1674209949;4560;0.03
1674210009;4562;0.06
1674210069;4564;0.02
1674210129;4566;0.06
1674210189;4568;0.02
1674210249;4570;0.07
1674210309;4572;0.02
1674210369;4575;0.01
1674210429;4577;0.06
1674210489;4580;0.02
1674210549;4582;0.00
1674210609;4583;0.00
1674210669;4585;0.00
1674210729;4588;0.00
1674210789;4593;0.00
1674210849;4595;0.00
1674210909;4597;0.00
1674210969;4598;0.00
1674211029;4600;0.00
1674211089;4605;0.05
1674211149;4608;0.02
1674211209;4610;0.06
1674211269;4611;0.02
1674211329;4613;0.07
1674211389;4616;0.02
1674211449;4617;0.07
1674211509;4620;0.03
1674211569;4621;0.01
1674211629;4622;0.04
1674211689;4624;0.07
1674211749;4625;0.02
1674211809;4627;0.07
1674211869;4629;0.02
1674211929;4632;0.08
1674211989;4634;0.03
1674212049;4638;0.29
1674212109;4641;0.10
1674212169;4645;0.04
1674212229;4646;0.08
1674212289;4648;0.03
1674212349;4649;0.12
1674212409;4651;0.04
1674212469;4653;0.09
1674212530;4654;0.03
1674212590;4657;0.06
1674212650;4659;0.05
1674212710;4661;0.06
1674212770;4664;0.05
1674212830;4666;0.02
1674212890;4668;0.06
1674212950;4669;0.02
1674213010;4670;0.06
1674213070;4672;0.02
1674213130;4674;0.07
1674213190;4678;0.02
1674213250;4679;0.01
1674213310;4681;0.00
1674213370;4682;0.00
1674213430;4685;0.00
1674213490;4686;0.03
1674213550;4689;0.08
1674213610;4690;0.03
1674213670;4692;0.09
1674213730;4694;0.03
1674213790;4697;0.01
1674213850;4698;0.03
1674213910;4701;0.01
1674213970;4703;0.04
1674214030;4707;0.01
1674214090;4712;0.00
1674214150;4715;0.07
1674214210;4717;0.02
